date,open,high,low,close,volume,amount,preclose,pctChg
2020-01-02,18.2000,19.3000,18.1000,19.0000,34563936,652305634.1800,18.1500,4.683200
2020-01-03,18.9900,19.8800,18.8900,19.5500,30696008,597619572.2000,19.0000,2.894700
2020-01-06,19.4000,21.3400,19.2700,20.8700,47071151,969046599.3500,19.5500,6.751900
2020-01-07,21.1000,22.5000,21.1000,21.8300,47886508,1049942457.5700,20.8700,4.599900
2020-01-08,21.5900,22.0000,20.7900,21.1300,35867330,765435653.5400,21.8300,-3.206600
2020-01-09,21.6500,22.2000,21.0400,21.4400,29653130,640818589.7100,21.1300,1.467100
2020-01-10,21.6800,21.6800,20.9200,21.1800,15748626,334081740.6100,21.4400,-1.212700
2020-01-13,21.3700,21.6600,21.0100,21.6500,18372923,393583442.8300,21.1800,2.219100
2020-01-14,21.8900,22.4400,21.5600,21.7500,25491965,560788501.7200,21.6500,0.461900
2020-01-15,21.5200,21.7800,21.0300,21.4000,16440086,350672352.7700,21.7500,-1.609200
2020-01-16,21.4000,21.7000,21.2500,21.6900,13719528,294883010.1900,21.4000,1.355100
2020-01-17,21.7000,22.7100,21.7000,21.9200,26731940,593607588.6800,21.6900,1.060400
2020-01-20,22.1500,22.3900,19.7300,19.7300,70661586,1430385666.5900,21.9200,-9.990900
2020-01-21,19.0000,20.0100,18.6000,19.4700,56408330,1092229682.7400,19.7300,-1.317800
2020-01-22,18.6000,18.8100,18.0800,18.5900,47300106,873265348.1500,19.4700,-4.519800
2020-01-23,17.9600,18.4200,17.0300,17.2900,50071443,886065600.7200,18.5900,-6.993000
2020-02-03,15.5600,15.5600,15.5600,15.5600,1432400,22288144.0000,17.2900,-10.005800
2020-02-04,14.0000,15.0800,14.0000,14.8000,64021665,920787618.7600,15.5600,-4.884300
2020-02-05,14.8100,15.8700,14.6800,15.6700,46621974,717437079.4000,14.8000,5.878400
2020-02-06,15.4600,16.4600,15.2400,16.2500,37312901,592991368.5700,15.6700,3.701300
2020-02-07,16.0900,16.6900,15.8200,16.5200,27628852,448376909.7400,16.2500,1.661500
2020-02-10,16.1700,16.4500,15.6700,16.1800,26786520,430040302.6900,16.5200,-2.058100
2020-02-11,16.2400,17.0000,16.0300,16.6700,44013130,729903719.8100,16.1800,3.028400
2020-02-12,16.3100,16.8600,16.2800,16.7200,22628780,376510573.7000,16.6700,0.299900
2020-02-13,16.5300,16.9800,16.4800,16.4900,16509550,275680958.9100,16.7200,-1.375600
2020-02-14,16.4500,16.6500,16.1700,16.4000,22246319,364762934.7500,16.4900,-0.545800
2020-02-17,16.4100,16.9200,16.4100,16.8700,18373572,307011813.8600,16.4000,2.865900
2020-02-18,16.8800,17.4000,16.7000,17.3100,24611169,420530809.5300,16.8700,2.608200
2020-02-19,17.4000,17.4000,16.7500,16.8000,20168293,342414034.5300,17.3100,-2.946300
2020-02-20,16.8800,17.8600,16.8800,17.6900,43136152,755286329.2600,16.8000,5.297600
2020-02-21,17.3600,17.8000,17.2800,17.5400,28185635,493326302.3000,17.6900,-0.847900
2020-02-24,17.3000,17.7200,16.9100,17.4600,30354421,525422398.2100,17.5400,-0.456100
2020-02-25,17.0500,17.3000,16.6500,17.1200,25356293,432805785.8000,17.4600,-1.947300
2020-02-26,16.7000,17.3300,16.6000,17.1200,31044990,527245751.0700,17.1200,0.000000
2020-02-27,17.2000,17.2800,16.7600,16.7900,20987400,355279575.3600,17.1200,-1.927600
2020-02-28,16.2000,16.3500,15.6200,16.2000,29709361,476274779.5500,16.7900,-3.514000
