date,time,open,high,low,close,volume,amount
2020-08-03,2.02008E+16,17.91,18.1,17.91,17.96,8172594,146987576
2020-08-03,2.02008E+16,17.95,18.29,17.85,18.21,5977734,107993095
2020-08-03,2.02008E+16,18.21,18.38,18.21,18.29,4381986,80188705
2020-08-03,2.02008E+16,18.28,18.57,18.27,18.38,4648690,85676944
2020-08-03,2.02008E+16,18.35,18.45,18.3,18.3,1994977,36648288
2020-08-03,2.02008E+16,18.29,18.36,18.28,18.35,1634470,29919552
2020-08-03,2.02008E+16,18.36,18.36,18.2,18.24,1709371,31185424
2020-08-03,2.02008E+16,18.24,18.24,18.05,18.05,1606174,29141424
2020-08-03,2.02008E+16,18.05,18.13,18.04,18.12,1145750,20734096
2020-08-03,2.02008E+16,18.11,18.25,18.11,18.23,1179100,21457840
2020-08-03,2.02008E+16,18.23,18.25,18.19,18.2,1132800,20645232
2020-08-03,2.02008E+16,18.19,18.21,18.09,18.11,856400,15542304
2020-08-03,2.02008E+16,18.11,18.3,18.1,18.29,1285470,23421328
2020-08-03,2.02008E+16,18.28,18.3,18.23,18.28,818900,14958496
2020-08-03,2.02008E+16,18.28,18.29,18.25,18.26,912000,16669360
2020-08-03,2.02008E+16,18.25,18.27,18.21,18.26,563600,10280448
2020-08-03,2.02008E+16,18.25,18.26,18.2,18.23,753900,13738576
2020-08-03,2.02008E+16,18.23,18.25,18.22,18.24,408000,7440032
2020-08-03,2.02008E+16,18.25,18.31,18.24,18.28,562300,10280800
2020-08-03,2.02008E+16,18.28,18.28,18.2,18.22,710700,12954544
2020-08-03,2.02008E+16,18.22,18.32,18.22,18.22,748050,13675200
2020-08-03,2.02008E+16,18.22,18.23,18.15,18.15,595100,10821856
2020-08-03,2.02008E+16,18.15,18.18,18.12,18.16,383606,6962288
2020-08-03,2.02008E+16,18.16,18.16,18.1,18.15,409014,7413824
2020-08-03,2.02008E+16,18.16,18.3,18.16,18.27,698000,12727664
2020-08-03,2.02008E+16,18.26,18.26,18.18,18.18,562500,10248640
2020-08-03,2.02008E+16,18.18,18.25,18.14,18.24,520750,9463648
2020-08-03,2.02008E+16,18.23,18.24,18.21,18.23,390900,7124368
2020-08-03,2.02008E+16,18.23,18.25,18.17,18.19,836350,15225424
2020-08-03,2.02008E+16,18.19,18.22,18.18,18.2,467212,8504080
2020-08-03,2.02008E+16,18.2,18.21,18.19,18.19,427088,7773712
2020-08-03,2.02008E+16,18.19,18.22,18.18,18.19,775800,14115360
2020-08-03,2.02008E+16,18.18,18.19,18.15,18.16,527100,9572816
2020-08-03,2.02008E+16,18.17,18.21,18.14,18.2,422900,7682560
2020-08-03,2.02008E+16,18.2,18.2,18.16,18.18,149200,2712768
2020-08-03,2.02008E+16,18.18,18.2,18.18,18.19,329200,5987584
2020-08-03,2.02008E+16,18.19,18.23,18.18,18.18,669500,12191136
2020-08-03,2.02008E+16,18.19,18.19,18.15,18.16,552700,10042640
2020-08-03,2.02008E+16,18.16,18.22,18.16,18.22,291200,5300560
2020-08-03,2.02008E+16,18.22,18.23,18.19,18.21,380500,6927744
2020-08-03,2.02008E+16,18.21,18.22,18.16,18.19,537200,9770816
2020-08-03,2.02008E+16,18.18,18.21,18.16,18.21,656900,11949056
2020-08-03,2.02008E+16,18.21,18.23,18.2,18.21,422400,7694400
2020-08-03,2.02008E+16,18.21,18.22,18.2,18.22,511850,9322976
2020-08-03,2.02008E+16,18.22,18.22,18.2,18.21,701050,12770592
2020-08-03,2.02008E+16,18.21,18.22,18.2,18.21,876700,15966144
2020-08-03,2.02008E+16,18.2,18.22,18.2,18.22,2045362,37240176
2020-08-03,2.02008E+16,18.22,18.22,18.21,18.22,891450,16240208
2020-08-04,2.02008E+16,18.19,18.19,17.81,17.91,4361300,78289926
2020-08-04,2.02008E+16,17.91,17.97,17.8,17.96,2652041,47421144
2020-08-04,2.02008E+16,17.97,17.97,17.83,17.85,1654786,29602415
2020-08-04,2.02008E+16,17.85,17.9,17.81,17.87,1352600,24134335
2020-08-04,2.02008E+16,17.87,17.92,17.84,17.91,1050608,18781484
2020-08-04,2.02008E+16,17.91,17.98,17.9,17.96,845000,15156202
2020-08-04,2.02008E+16,17.97,18.1,17.93,17.93,1343250,24212303
2020-08-04,2.02008E+16,17.93,18,17.91,17.95,971138,17415065
2020-08-04,2.02008E+16,17.96,18.33,17.96,18.33,1305850,23720886
2020-08-04,2.02008E+16,18.34,18.34,18.13,18.15,1752054,31952592
2020-08-04,2.02008E+16,18.16,18.16,18.04,18.1,721419,13036448
2020-08-04,2.02008E+16,18.1,18.13,18,18.11,360550,6512704
2020-08-04,2.02008E+16,18.12,18.18,18.02,18.16,389100,7050144
2020-08-04,2.02008E+16,18.18,18.2,18.13,18.14,320600,5825136
2020-08-04,2.02008E+16,18.14,18.16,18.11,18.14,252683,4582336
2020-08-04,2.02008E+16,18.16,18.2,18.14,18.17,408511,7421664
2020-08-04,2.02008E+16,18.17,18.2,18.15,18.2,392069,7127360
2020-08-04,2.02008E+16,18.2,18.27,18.18,18.18,591375,10780720
2020-08-04,2.02008E+16,18.19,18.22,18.09,18.1,888070,16153520
2020-08-04,2.02008E+16,18.1,18.11,18.02,18.07,574773,10382624
2020-08-04,2.02008E+16,18.06,18.1,18,18.01,376143,6785392
2020-08-04,2.02008E+16,18.01,18.06,18,18.06,306212,5516624
2020-08-04,2.02008E+16,18.06,18.12,18.06,18.09,284283,5142864
2020-08-04,2.02008E+16,18.09,18.1,18.02,18.09,252875,4565728
2020-08-04,2.02008E+16,18.09,18.1,18.02,18.02,277308,5008800
2020-08-04,2.02008E+16,18.03,18.03,18,18.01,501333,9030176
2020-08-04,2.02008E+16,18,18,17.92,17.99,656962,11791488
2020-08-04,2.02008E+16,18,18,17.94,17.97,345601,6209840
2020-08-04,2.02008E+16,17.98,17.99,17.94,17.99,281060,5048400
2020-08-04,2.02008E+16,17.99,18.04,17.98,18.02,288567,5196944
2020-08-04,2.02008E+16,18.02,18.25,18.02,18.23,1313771,23915056
2020-08-04,2.02008E+16,18.23,18.25,18.16,18.18,645529,11752496
2020-08-04,2.02008E+16,18.18,18.18,18.11,18.12,266400,4834912
2020-08-04,2.02008E+16,18.12,18.19,18.11,18.18,204000,3700240
2020-08-04,2.02008E+16,18.18,18.18,18.15,18.15,291300,5291600
2020-08-04,2.02008E+16,18.16,18.17,18.15,18.16,221200,4017296
2020-08-04,2.02008E+16,18.16,18.18,18.15,18.15,229600,4171648
2020-08-04,2.02008E+16,18.16,18.16,18.07,18.07,285100,5163968
2020-08-04,2.02008E+16,18.07,18.13,18.07,18.12,227800,4122544
2020-08-04,2.02008E+16,18.12,18.12,18.09,18.11,158950,2878128
2020-08-04,2.02008E+16,18.11,18.11,18.06,18.06,467450,8451392
