date,open,high,low,close,volume,amount,preclose,pctChg
2020-01-02,132.0000,133.5000,129.5900,132.0800,30667439,4038536854.9500,133.0100,-0.699200
2020-01-03,131.6000,132.0700,129.6100,130.5500,20469248,2672531470.2300,132.0800,-1.158400
2020-01-06,130.0000,130.2500,128.5200,129.2000,25936979,3353682073.1300,130.5500,-1.034100
2020-01-07,129.5000,131.0700,129.0000,129.3700,22327793,2901574233.0800,129.2000,0.131600
2020-01-08,128.9900,129.7600,128.0500,128.8900,16180218,2083242871.0500,129.3700,-0.371000
2020-01-09,129.0000,131.2000,128.2500,130.7700,25549057,3317934212.4100,128.8900,1.458600
2020-01-10,130.5000,134.0500,130.5000,133.6200,42969542,5712380855.9700,130.7700,2.179400
2020-01-13,134.2600,140.0000,134.2500,139.6600,49604194,6847185988.3000,133.6200,4.520300
2020-01-14,140.1000,140.6800,138.2000,138.5600,19907317,2767444878.8900,139.6600,-0.787600
2020-01-15,138.5600,142.8100,138.5500,140.8000,23478904,3309331109.8100,138.5600,1.616600
2020-01-16,140.8000,142.0000,139.3000,140.6600,14535988,2046672621.1200,140.8000,-0.099400
2020-01-17,141.2600,141.8000,138.3000,138.5500,14847814,2068064059.8500,140.6600,-1.500100
2020-01-20,140.5500,140.6600,136.8000,137.5600,16753769,2308928098.7000,138.5500,-0.714500
2020-01-21,136.5000,136.5000,132.0100,132.6200,29307308,3903226854.5200,137.5600,-3.591200
2020-01-22,130.9900,132.6700,129.7600,131.7000,25753051,3375415201.5200,132.6200,-0.693700
2020-01-23,131.7700,131.7700,125.0000,126.1600,41593668,5294268764.0200,131.7000,-4.206500
2020-02-03,113.5400,113.5400,113.5400,113.5400,16763900,1903373206.0000,126.1600,-10.003200
2020-02-04,109.0000,120.0000,109.0000,114.5000,71021426,8017646168.9900,113.5400,0.845500
2020-02-05,115.9000,119.8000,114.1000,117.5100,38878339,4546389350.9300,114.5000,2.628800
2020-02-06,119.0000,119.9400,116.6000,119.1500,30655105,3619248778.7700,117.5100,1.395600
2020-02-07,119.2500,120.9300,117.6100,120.5800,28011695,3346691769.0700,119.1500,1.200200
2020-02-10,119.5000,122.3300,118.5800,121.1300,22187650,2682789606.0400,120.5800,0.456100
2020-02-11,121.1500,125.5000,121.1500,124.7900,24577382,3049430907.6300,121.1300,3.021600
2020-02-12,124.5000,125.2500,122.7700,124.4900,17511362,2168783486.4800,124.7900,-0.240400
2020-02-13,124.8800,126.6600,123.3700,124.1400,17862884,2230165010.3700,124.4900,-0.281100
2020-02-14,124.2000,125.8800,122.4500,123.4300,16971973,2094049251.5400,124.1400,-0.571900
2020-02-17,123.1800,124.3000,122.5800,124.3000,23816908,2941280509.9800,123.4300,0.704900
2020-02-18,123.8000,124.3000,123.0100,123.3900,12872775,1590249168.5900,124.3000,-0.732100
2020-02-19,123.7800,127.1800,122.6800,126.0000,31662776,3976674952.0200,123.3900,2.115200
2020-02-20,127.0000,130.5800,126.8900,130.1500,33466160,4332207305.9700,126.0000,3.293600
2020-02-21,130.0000,131.2000,129.0200,130.0000,20743751,2695003477.3100,130.1500,-0.115200
2020-02-24,129.4000,129.4000,126.7000,127.1000,23560124,3005249413.4900,130.0000,-2.230800
2020-02-25,124.8000,127.0000,123.8600,125.3000,24063330,3014293143.3100,127.1000,-1.416200
2020-02-26,123.8300,126.4200,123.0000,124.1000,21417866,2662201890.9500,125.3000,-0.957700
2020-02-27,124.8000,127.7500,124.5000,126.3000,23573167,2986686525.4400,124.1000,1.772800
2020-02-28,124.0000,124.0300,119.0000,120.6000,36601211,4445668089.2600,126.3000,-4.513100
2020-03-02,120.1000,123.6000,119.6000,122.6500,26982238,3287615181.0000,120.6000,1.699800
2020-03-03,123.7000,125.8800,123.7000,124.3700,23092324,2878896360.5700,122.6500,1.402400
2020-03-04,124.0000,125.9300,124.0000,125.2700,19757510,2471690889.5100,124.3700,0.723600
2020-03-05,126.5500,134.8800,126.0000,133.2000,56561987,7399037627.0700,125.2700,6.330300
2020-03-06,132.0000,134.8800,130.0000,130.0700,29165822,3845033468.4600,133.2000,-2.349800
2020-03-09,128.0000,128.2500,126.0400,126.3000,24454158,3106158207.3700,130.0700,-2.898400
2020-03-10,126.3000,131.6300,126.2000,130.7200,31077221,4017374185.6200,126.3000,3.499600
2020-03-11,132.5000,132.8000,129.5000,129.9000,18763487,2452609914.8300,130.7200,-0.627300
2020-03-12,126.8800,128.1100,125.8600,126.0400,25266000,3199005135.6900,129.9000,-2.971500
2020-03-13,120.0000,125.2200,118.8800,122.6000,35088698,4280415922.7100,126.0400,-2.729300
2020-03-16,121.4000,122.4000,114.4100,115.5000,37024247,4379489484.6900,122.6000,-5.791200
2020-03-17,114.5000,117.5800,108.5800,112.3600,35297954,3975112228.2100,115.5000,-2.718600
2020-03-18,113.2000,115.9700,106.6900,107.5900,40442259,4528147000.3400,112.3600,-4.245300
2020-03-19,105.8000,107.0000,98.6300,102.1100,60169789,6133825332.9100,107.5900,-5.093400
2020-03-20,104.3200,109.6600,104.2100,108.5100,42206390,4484741875.1500,102.1100,6.267800
2020-03-23,104.0000,106.5000,103.0400,104.5100,32826540,3443583082.0400,108.5100,-3.686300
2020-03-24,107.0800,109.8900,106.0400,109.0500,35636342,3859693788.5000,104.5100,4.344100
2020-03-25,113.1000,114.9600,111.8400,114.0000,30947333,3508691590.5500,109.0500,4.539200
2020-03-26,112.9800,116.3000,111.9000,113.8900,20880123,2397709906.1100,114.0000,-0.096500
2020-03-27,115.6000,117.8000,115.6000,115.8100,23543496,2745616755.8700,113.8900,1.685800
2020-03-30,112.8200,114.0200,111.7000,113.2300,20580583,2321514404.4500,115.8100,-2.227800
2020-03-31,115.0000,116.5900,114.0600,115.2000,18849621,2179898621.2400,113.2300,1.739800
2020-04-01,116.0000,116.9900,114.4400,115.0000,17596852,2033698724.2500,115.2000,-0.173600
2020-04-02,114.0000,117.1900,113.5200,117.1900,19153739,2218330786.4200,115.0000,1.904300
2020-04-03,117.7000,119.4700,116.8000,117.5200,17580586,2076905527.1100,117.1900,0.281600
2020-04-07,120.6000,124.5800,120.6000,124.1400,29451150,3627761364.5800,117.5200,5.633100
2020-04-08,124.1400,125.9900,123.4300,125.2800,20113362,2515223465.7400,124.1400,0.918300
2020-04-09,126.6500,127.6000,123.0100,124.9800,15879620,1985606241.4500,125.2800,-0.239500
2020-04-10,124.9800,128.8000,124.2000,126.5200,19896089,2526071157.9200,124.9800,1.232200
