date,open,high,low,close,volume,amount,preclose,pctChg
2020-01-02,9.3500,9.5700,9.3500,9.5300,8222723,78128517.5100,9.3300,2.143600
2020-01-03,9.5300,9.6500,9.5000,9.6000,6238624,59736777.1700,9.5300,0.734500
2020-01-06,9.5900,10.0800,9.5300,9.8500,16605226,164320422.8200,9.6000,2.604200
2020-01-07,9.8400,9.9400,9.7500,9.8900,9082560,89400214.5900,9.8500,0.406100
2020-01-08,9.8000,10.0600,9.7700,9.8600,10873008,107785495.4000,9.8900,-0.303300
2020-01-09,9.9500,10.1000,9.8800,10.0800,11642779,116601111.7800,9.8600,2.231200
2020-01-10,10.1100,10.1600,9.7200,9.8200,10966389,108500141.2300,10.0800,-2.579400
2020-01-13,9.8200,9.8300,9.5700,9.7300,9713248,93768888.2100,9.8200,-0.916500
2020-01-14,9.7200,9.8500,9.6000,9.8200,11965051,116471547.6200,9.7300,0.925000
2020-01-15,9.7600,9.7800,9.5900,9.6600,5991135,57918382.6500,9.8200,-1.629300
2020-01-16,9.7000,9.7200,9.5300,9.5400,4812435,46271482.1000,9.6600,-1.242200
2020-01-17,9.5600,9.5800,9.3000,9.3300,6408454,60415785.7000,9.5400,-2.201300
2020-01-20,8.4000,8.5900,8.4000,8.4000,18183000,152791175.0000,9.3300,-9.967800
2020-01-21,8.4000,8.7300,8.1300,8.6000,30104403,255607056.8800,8.4000,2.381000
2020-01-22,8.5500,8.5700,8.3200,8.4500,14067846,118783251.6900,8.6000,-1.744200
2020-01-23,8.3500,8.4000,7.8600,8.0400,13723772,111769972.9100,8.4500,-4.852100
2020-02-03,7.2400,7.2400,7.2400,7.2400,2102800,15224272.0000,8.0400,-9.950300
2020-02-04,6.8100,7.2600,6.8100,7.1200,13178842,92953434.7100,7.2400,-1.657500
2020-02-05,7.1600,7.5100,7.1500,7.3700,13382087,98762682.5800,7.1200,3.511200
2020-02-06,7.4400,8.1100,7.3100,8.1100,20302019,159401390.4100,7.3700,10.040700
2020-02-07,8.3100,8.5400,8.0800,8.3000,25459341,212324385.8600,8.1100,2.342800
2020-02-10,8.2300,8.5800,8.0700,8.3800,17644125,147834065.1300,8.3000,0.963900
2020-02-11,8.3400,8.5000,8.1500,8.3200,11851588,98316572.3400,8.3800,-0.716000
2020-02-12,8.3200,8.5200,8.2700,8.4900,11416017,95969677.4600,8.3200,2.043300
2020-02-13,8.4100,8.8500,8.3100,8.3900,18907680,161464524.5800,8.4900,-1.177800
2020-02-14,8.4000,8.5300,8.2000,8.3500,10961597,91887018.0000,8.3900,-0.476800
2020-02-17,8.3800,8.6400,8.3100,8.6300,14404166,123160607.0800,8.3500,3.353300
2020-02-18,8.6600,9.1500,8.6500,9.1300,19465193,173988778.9400,8.6300,5.793700
2020-02-19,9.0400,9.3600,8.9600,9.0700,17073022,155969566.6800,9.1300,-0.657200
2020-02-20,9.1600,9.4900,8.9100,9.3000,18986895,175156820.0000,9.0700,2.535800
2020-02-21,9.1600,9.6300,9.1500,9.4500,19243489,181252702.5600,9.3000,1.612900
2020-02-24,9.5000,9.6900,9.3100,9.5300,23805829,226575228.5600,9.4500,0.846600
2020-02-25,9.2000,9.5300,9.0400,9.5000,19715270,184388410.5900,9.5300,-0.314800
2020-02-26,9.7200,10.1900,9.4000,9.5300,32567368,317856013.9600,9.5000,0.315800
2020-02-27,9.4300,9.6100,9.1600,9.2300,20236942,189104129.4300,9.5300,-3.148000
2020-02-28,8.9000,8.9900,8.4500,8.5000,19439610,169297339.9400,9.2300,-7.909000
2020-03-02,8.6100,8.8200,8.5000,8.7800,12299155,107133468.0500,8.5000,3.294100
2020-03-03,8.9300,9.6600,8.8700,9.4800,35323762,331413332.8200,8.7800,7.972700
2020-03-04,9.4400,10.3300,9.3100,10.0900,42043387,419530696.2600,9.4800,6.434600
2020-03-05,10.3200,10.4100,9.7500,9.7900,33534828,331971579.8200,10.0900,-2.973200
2020-03-06,9.6500,10.7700,9.5700,10.7700,50809852,527530672.9800,9.7900,10.010200
2020-03-09,10.5000,11.3600,10.0800,10.2500,67284663,712847439.2600,10.7700,-4.828200
2020-03-10,9.9000,10.1600,9.2800,10.1000,40807007,400588392.4300,10.2500,-1.463400
2020-03-11,9.9600,11.1100,9.9000,10.5000,58468156,619795410.5400,10.1000,3.960400
2020-03-12,10.0900,10.2600,9.8800,10.0600,33910675,342108587.5500,10.5000,-4.190500
2020-03-13,9.4600,9.9200,9.2000,9.6100,28779994,275863230.4000,10.0600,-4.473200
2020-03-16,9.7000,10.0000,8.6600,8.8100,28374652,267254223.4500,9.6100,-8.324700
2020-03-17,8.8100,9.0700,8.3100,8.6400,20318801,175936193.2100,8.8100,-1.929600
2020-03-18,8.7700,8.7700,8.0600,8.1400,20641892,175129272.7700,8.6400,-5.787000
2020-03-19,8.1300,8.4000,7.8400,8.2500,16466004,133269030.5100,8.1400,1.351300
2020-03-20,8.3500,8.5000,8.0800,8.3400,12102622,100611934.2900,8.2500,1.090900
2020-03-23,8.0500,8.2000,7.7300,7.8600,11998716,96235466.4800,8.3400,-5.755400
2020-03-24,8.0200,8.1000,7.6400,8.0200,13373558,105508114.1500,7.8600,2.035600
2020-03-25,8.1900,8.2600,8.0100,8.1500,13453790,109462032.8700,8.0200,1.620900
2020-03-26,8.1000,8.1000,7.9300,7.9900,9872800,79039678.0900,8.1500,-1.963200
2020-03-27,8.0800,8.1500,7.8800,7.8800,8827800,70736454.1100,7.9900,-1.376700
2020-03-30,7.8800,7.8800,7.3900,7.5400,8904280,67170292.6800,7.8800,-4.314700
2020-03-31,7.6600,7.7000,7.3300,7.3300,8245365,61555769.9800,7.5400,-2.785100
2020-04-01,7.3500,7.4700,7.2700,7.3400,6997274,51669617.0800,7.3300,0.136400
2020-04-02,7.3000,7.5900,7.2700,7.5900,6995999,52076636.0800,7.3400,3.406000
2020-04-03,7.6000,7.6400,7.4400,7.4700,6550417,49393939.9000,7.5900,-1.581000
2020-04-07,7.7000,7.7800,7.6000,7.7400,8155049,62765278.7400,7.4700,3.614500
2020-04-08,7.7600,7.9400,7.6900,7.8900,7885505,61895799.5600,7.7400,1.938000
2020-04-09,7.9700,8.5900,7.9700,8.2400,16280389,135058431.4700,7.8900,4.436000
2020-04-10,8.2000,8.3200,7.9300,8.0000,9556218,77513890.7500,8.2400,-2.912600
2020-04-13,7.9900,7.9900,7.7700,7.8300,4976289,39191680.6200,8.0000,-2.125000
2020-04-14,7.8100,7.9500,7.7600,7.9000,8207866,64612874.1800,7.8300,0.894000
2020-04-15,7.9000,7.9800,7.7300,7.7500,6477410,50826168.8400,7.9000,-1.898700
2020-04-16,7.9800,8.3200,7.9500,8.0400,12830489,103985142.7000,7.7500,3.741900
2020-04-17,8.0100,8.1400,7.9300,7.9300,9740702,78257684.6400,8.0400,-1.368200
2020-04-20,8.0000,8.7200,7.8000,8.7200,25920047,217263323.8600,7.9300,9.962200
2020-04-21,8.5500,8.7600,8.3300,8.5500,22173022,189027203.0400,8.7200,-1.949500
2020-04-22,8.4900,8.9600,8.4200,8.6800,21337015,186036007.3900,8.5500,1.520500
2020-04-23,8.6700,8.8000,8.4500,8.4500,13479095,116150933.3600,8.6800,-2.649800
2020-04-24,8.4700,8.6200,8.3000,8.3200,9904298,83500829.1500,8.4500,-1.538500
