date,time,open,high,low,close,volume,amount
2020-08-03,20200803093500000,9.6100,9.8500,9.6100,9.8100,4266331,41630338.0000
2020-08-03,20200803094000000,9.8200,9.9500,9.8200,9.8300,3330981,32930868.0000
2020-08-03,20200803094500000,9.8400,10.0200,9.8300,9.9900,3117358,31045949.0000
2020-08-03,20200803095000000,9.9900,10.0700,9.9000,9.9400,2537412,25356706.0000
2020-08-03,20200803095500000,9.9400,9.9600,9.8400,9.9100,1940982,19182970.0000
2020-08-03,20200803100000000,9.8900,10.0200,9.8900,9.9400,1452100,14470836.0000
2020-08-03,20200803100500000,9.9300,9.9300,9.8600,9.9100,1119100,11076490.0000
2020-08-03,20200803101000000,9.9100,9.9100,9.8900,9.9000,343200,3398568.0000
2020-08-03,20200803101500000,9.8900,9.9400,9.8900,9.9300,639500,6335681.0000
2020-08-03,20200803102000000,9.9400,10.0300,9.9400,9.9800,1718700,17181812.0000
2020-08-03,20200803102500000,9.9800,9.9900,9.9600,9.9600,620600,6190721.0000
2020-08-03,20200803103000000,9.9600,9.9800,9.9300,9.9800,428100,4263588.0000
2020-08-03,20200803103500000,9.9800,10.0200,9.9600,10.0100,891179,8905984.0000
2020-08-03,20200803104000000,10.0100,10.0400,9.9700,9.9800,493321,4940238.0000
2020-08-03,20200803104500000,9.9800,10.0100,9.9800,9.9800,297600,2974432.0000
2020-08-03,20200803105000000,9.9800,9.9800,9.9500,9.9600,185500,1848062.0000
2020-08-03,20200803105500000,9.9600,9.9600,9.9100,9.9400,266500,2648422.0000
2020-08-03,20200803110000000,9.9400,9.9800,9.9300,9.9700,469100,4666417.0000
2020-08-03,20200803110500000,9.9700,10.0000,9.9700,10.0000,394900,3944899.0000
2020-08-03,20200803111000000,10.0000,10.0300,9.9700,9.9800,482900,4832195.0000
2020-08-03,20200803111500000,9.9800,10.0000,9.9700,9.9700,253600,2532754.0000
2020-08-03,20200803112000000,9.9700,9.9800,9.9400,9.9500,498700,4965108.0000
2020-08-03,20200803112500000,9.9400,9.9500,9.9300,9.9400,363200,3608284.0000
2020-08-03,20200803113000000,9.9300,9.9400,9.9100,9.9300,539838,5356262.0000
2020-08-03,20200803130500000,9.9400,9.9900,9.9400,9.9700,391700,3905909.0000
2020-08-03,20200803131000000,9.9700,9.9700,9.9500,9.9700,174400,1737499.0000
2020-08-03,20200803131500000,9.9700,10.0300,9.9600,10.0300,725300,7254608.0000
2020-08-03,20200803132000000,10.0300,10.0300,9.9800,9.9800,400600,4006832.0000
2020-08-03,20200803132500000,9.9900,10.0300,9.9900,9.9900,405455,4058128.0000
2020-08-03,20200803133000000,9.9800,10.0300,9.9800,10.0200,381100,3814352.0000
